kuupäev,valgus,pikkus
2019-04-03 04:06:29,1.87,-98
2019-04-03 04:16:30,1.62,-2995
2019-04-03 04:26:30,1.46,26
2019-04-03 04:36:31,1.35,-99
2019-04-03 04:46:31,1.25,-64
2019-04-03 04:56:31,1.18,-98
2019-04-03 05:06:32,1.12,-98
2019-04-03 05:16:32,1.08,-64
2019-04-03 05:26:32,1.04,-98
2019-04-03 05:36:33,1,-66
2019-04-03 05:46:33,0.96,-67
2019-04-03 05:56:33,0.92,-64
2019-04-03 06:06:34,0.9,-66
2019-04-03 06:16:34,0.88,-2995
2019-04-03 06:26:35,0.86,26
2019-04-03 06:36:35,0.83,-3003
2019-04-03 06:46:36,0.81,26
2019-04-03 06:56:36,0.79,-2989
2019-04-03 07:06:36,0.78,26
2019-04-03 07:16:37,0.75,-3034
2019-04-03 07:26:37,0.74,26
2019-04-03 07:36:38,0.73,-3016
2019-04-03 07:46:38,0.72,26
2019-04-03 07:56:38,0.71,-3021
2019-04-03 08:06:39,0.7,26
2019-04-03 08:16:39,0.68,-3008
2019-04-03 08:26:40,0.67,26
2019-04-03 08:36:40,0.66,-3004
2019-04-03 08:46:41,0.66,26
2019-04-03 08:56:41,0.65,-99
2019-04-03 09:06:41,0.65,-100
2019-04-03 09:16:42,0.65,-98
2019-04-03 09:26:42,0.65,-99
2019-04-03 09:36:42,0.65,-98
2019-04-03 09:46:43,0.65,-3005
2019-04-03 09:56:43,0.65,26
2019-04-03 10:06:44,0.65,-3030
2019-04-03 10:16:44,0.65,26
2019-04-03 10:26:44,0.65,-3045
2019-04-03 10:36:45,0.65,26
2019-04-03 10:46:45,0.65,-3051
2019-04-03 10:56:46,0.65,26
2019-04-03 11:06:46,0.66,-3036
2019-04-03 11:16:47,0.66,26
2019-04-03 11:26:47,0.66,-3020
2019-04-03 11:36:48,0.66,26
2019-04-03 11:46:48,0.66,-3041
2019-04-03 11:56:49,0.67,26
2019-04-03 12:06:49,0.67,-90
2019-04-03 12:16:50,0.7,-90
2019-04-03 12:26:50,0.71,-3027
2019-04-03 12:36:50,0.72,26
2019-04-03 12:46:51,0.72,-3023
2019-04-03 12:56:51,0.73,26
2019-04-03 01:06:52,0.73,-89
2019-04-03 01:16:52,0.74,-89
2019-04-03 01:26:53,0.75,-85
2019-04-03 01:36:53,0.77,-85
2019-04-03 01:46:54,0.79,-3002
2019-04-03 01:56:54,0.8,26
2019-04-03 02:06:54,0.82,-85
2019-04-03 02:16:55,0.84,-3040
2019-04-03 02:26:55,0.86,26
2019-04-03 02:36:56,0.88,-3067
2019-04-03 02:46:56,0.9,26
2019-04-03 02:56:56,0.93,-3044
2019-04-03 03:06:57,0.97,26
2019-04-03 03:16:57,1,-3045
2019-04-03 03:26:58,1.04,26
2019-04-03 03:36:58,1.08,-3027
2019-04-03 03:46:58,1.12,26
2019-04-03 03:56:59,1.21,11
2019-04-03 04:06:59,1.26,11
2019-04-03 04:16:59,1.35,11
2019-04-03 04:27:00,1.52,11
2019-04-03 04:37:00,1.74,12
2019-04-03 04:47:00,2.12,13
2019-04-03 04:57:01,2.7,13
2019-04-03 05:07:01,3.39,13
2019-04-03 05:17:01,4.06,13
2019-04-03 05:27:02,4.57,13
2019-04-03 05:37:02,4.79,13
2019-04-03 05:47:02,4.87,13
2019-04-03 05:57:03,4.86,13
2019-04-03 06:07:03,4.88,13
2019-04-03 06:17:03,4.88,13
2019-04-03 06:27:04,4.83,13
2019-04-03 06:37:04,4.83,13
2019-04-03 06:47:04,4.86,13
2019-04-03 06:57:05,4.87,13
2019-04-03 07:07:05,4.83,13
2019-04-03 07:17:05,4.84,13
2019-04-03 07:27:06,5,8
2019-04-03 07:37:06,5,5
2019-04-03 07:47:07,5,5
2019-04-03 07:57:07,5,-85
2019-04-03 08:07:07,5,-83
2019-04-03 08:17:08,5,-3014
2019-04-03 08:27:08,5,26
2019-04-03 08:37:09,5,-3032
2019-04-03 08:47:09,5,26
2019-04-03 08:57:09,5,-82
2019-04-03 09:07:10,5,-78
2019-04-03 09:17:10,5,-80
2019-04-03 09:27:10,5,-82
2019-04-03 09:37:11,5,-78
2019-04-03 09:47:11,5,-78
2019-04-03 09:57:11,5,-78
2019-04-03 10:07:12,5,-77
2019-04-03 10:17:12,5,-76
2019-04-03 10:27:12,5,-78
2019-04-03 10:37:13,5,5
2019-04-03 10:47:13,5,-79
2019-04-03 10:57:13,5,-78
2019-04-03 11:07:14,5,-77
2019-04-03 11:17:14,5,6
2019-04-03 11:27:14,5,5
2019-04-03 11:37:15,5,7
2019-04-03 11:47:15,5,7
2019-04-03 11:57:15,5,7
2019-04-04 12:07:16,5,6
2019-04-04 12:17:16,5,-76
2019-04-04 12:27:17,5,6
2019-04-04 12:37:17,5,7
2019-04-04 12:47:17,5,5
2019-04-04 12:57:18,5,7
2019-04-04 01:07:18,5,5
2019-04-04 01:17:19,5,7
2019-04-04 01:27:19,5,7
2019-04-04 01:37:20,5,7
2019-04-04 01:47:20,5,7
2019-04-04 01:57:20,5,7
2019-04-04 02:07:21,5,7
2019-04-04 02:17:21,5,6
2019-04-04 02:27:21,5,7
2019-04-04 02:37:22,5,7
2019-04-04 02:47:22,5,7
2019-04-04 02:57:22,5,7
2019-04-04 03:07:23,5,7
2019-04-04 03:17:23,5,7
2019-04-04 03:27:23,4.3,7
2019-04-04 03:37:24,3.37,7
2019-04-04 03:47:24,2.7,5
2019-04-04 03:57:25,2.1,7
2019-04-04 04:07:25,1.82,5
2019-04-04 04:17:25,1.59,6
2019-04-04 04:27:26,1.43,6
2019-04-04 04:37:26,1.25,7
2019-04-04 04:47:27,1.24,6
2019-04-04 04:57:27,1.16,6
2019-04-04 05:07:28,1.11,6
2019-04-04 05:17:28,1,7
2019-04-04 05:27:28,0.96,7
2019-04-04 05:37:29,0.92,7
2019-04-04 05:47:29,0.89,7
2019-04-04 05:57:29,0.86,7
2019-04-04 06:07:30,0.84,7
2019-04-04 06:17:30,0.82,7
2019-04-04 06:27:30,0.79,6
2019-04-04 06:37:30,0.78,6
2019-04-04 06:47:31,0.76,6
2019-04-04 06:57:31,0.74,6
2019-04-04 07:07:31,0.73,6
2019-04-04 07:17:32,0.72,6
2019-04-04 07:27:32,0.7,6
2019-04-04 07:37:33,0.67,6
2019-04-04 07:47:33,0.66,6
2019-04-04 07:57:33,0.66,6
2019-04-04 08:07:34,0.65,6
2019-04-04 08:17:34,0.64,6
2019-04-04 08:27:35,0.63,6
2019-04-04 08:37:35,0.62,6
2019-04-04 08:47:35,0.62,6
2019-04-04 08:57:36,0.62,6
2019-04-04 09:07:36,0.62,5
2019-04-04 09:17:37,0.62,4
2019-04-04 09:27:37,0.62,4
2019-04-04 09:37:37,0.61,5
2019-04-04 09:47:38,0.61,4
2019-04-04 09:57:38,0.61,4
2019-04-04 10:07:39,0.61,4
2019-04-04 10:17:39,0.61,4
2019-04-04 10:27:39,0.61,4
2019-04-04 10:37:40,0.62,4
2019-04-04 10:47:40,0.62,4
2019-04-04 10:57:41,0.62,-81
2019-04-04 11:07:41,0.62,-80
2019-04-04 11:17:41,0.63,-82
2019-04-04 11:27:42,0.63,-82
2019-04-04 11:37:42,0.63,-83
2019-04-04 11:47:42,0.64,-85
2019-04-04 11:57:43,0.65,-83
2019-04-04 12:07:43,0.66,-83
2019-04-04 12:17:43,0.66,-83
2019-04-04 12:27:44,0.66,-83
2019-04-04 12:37:44,0.67,-83
2019-04-04 12:47:44,0.69,-83
2019-04-04 12:57:45,0.7,-83
2019-04-04 01:07:45,0.72,-84
2019-04-04 01:17:46,0.74,-84
2019-04-04 01:27:46,0.73,-83
2019-04-04 01:37:47,0.74,-87
2019-04-04 01:47:47,0.77,-84
2019-04-04 01:57:47,0.78,-85
2019-04-04 02:07:48,0.79,-85
2019-04-04 02:17:48,0.82,-85
2019-04-04 02:27:48,0.83,-84
2019-04-04 02:37:49,0.86,-85
